1a_absence_3term_school,t_1a_absence_3term_sch_d1b51341e3
1_absence_3term_nat_reg_la,t_1_absence_3term_nat__2642eb995e
2022-2023_england_ks4final,t_2022_2023_england_ks_28199246f1
202324_la_char_data_revised,t_202324_la_char_data__34c2fcb1b7
202324_performance_tables_schools_final,t_202324_performance_t_371eb4e56c
202324_subject_pupil_level_la_data_revised,t_202324_subject_pupil_2ab324f688
202324_subject_school_all_exam_entriesgrades_final,t_202324_subject_schoo_84751f4769
202425_all_state_funded_pupils_characteristics_and_geography_breakdowns_provisional_v1.0.1,t_202425_all_state_fun_eadbd21823
202425_performance_tables_schools_provisional_v1.0.1,t_202425_performance_t_7d6e7188b9
202425_subject_local_authority_pupil_entriesachievements_provisional_v1.0.1,t_202425_subject_local_a577f17f4e
202425_subject_school_all_exam_entriesgrades_provisional_v1.0.1,t_202425_subject_schoo_ff1f246d1c
2026-01-13_off_sen_primary_sim_sch_grps,t_2026_01_13_off_sen_p_da7ffb33e2
2026-01-13_off_sen_primary_sim_sch_var_vals,t_2026_01_13_off_sen_p_e0ebbdc786
2026-01-13_off_sen_secondary_sim_sch_grps,t_2026_01_13_off_sen_s_ae101eacb2
2026-01-13_off_sen_secondary_sim_sch_var_vals,t_2026_01_13_off_sen_s_19f2b70939
2223_la_char_data_revised,t_2223_la_char_data_re_951c641f25
2223_subject_pupil_level_la_data_revised,t_2223_subject_pupil_l_a6edee9716
custom_202223_subject_school_pupil_entriesachievements_final,t_custom_202223_subjec_6d3c9ec16a
custom_202324_subject_school_pupil_entriesachievements_final,t_custom_202324_subjec_941996fa46
custom_202325_subject_local_authority_pupil_entriesachievements,t_custom_202325_subjec_373493c71d
custom_202325_subject_national_pupil_entriesachievements_characteristics,t_custom_202325_subjec_9973368c26
custom_202425_subject_school_pupil_entriesachievements_revised,t_custom_202425_subjec_5359f04f61
edubasealldata20260324,t_edubasealldata202603_301c86d488
ees_ks4_inst_202223,t_ees_ks4_inst_202223_cbe11c2768
ees_ks4_la_202223,t_ees_ks4_la_202223_77d7d16802
ees_ks4_nat_202223,t_ees_ks4_nat_202223_6f188ec9e6
england_ks4underlying_entriesandgrades_2,t_england_ks4underlyin_effb560d65
exc_nat_region_la,t_exc_nat_region_la_02f87f3c39
exc_school,t_exc_school_a1c7f527bc
grouplinks_edubaseallacademiesandfree20260324,t_grouplinks_edubaseal_6759364613
ks4_dm_ud_202122_inst_rev,t_ks4_dm_ud_202122_ins_d3152640f4
ks4_dm_ud_202122_la_rev,t_ks4_dm_ud_202122_la__f22330973f
ks4_dm_ud_202122_nat_rev,t_ks4_dm_ud_202122_nat_e9fce4c692
ks4_dm_ud_202223_inst_rev,t_ks4_dm_ud_202223_ins_49ea482af3
ks4_dm_ud_202223_la_rev,t_ks4_dm_ud_202223_la__c3b076dcd1
ks4_dm_ud_202223_nat_rev,t_ks4_dm_ud_202223_nat_8dfd44c9f0
links_edubasealldata20260324,t_links_edubasealldata_00f1f5dbbd
manual_1a_absence_3term_school,t_1a_absence_3term_sch_d1b51341e3
manual_1_absence_3term_nat_reg_la,t_1_absence_3term_nat__2642eb995e
manual_2022-2023_england_ks4final,t_2022_2023_england_ks_28199246f1
manual_202324_la_char_data_revised,t_202324_la_char_data__34c2fcb1b7
manual_202324_performance_tables_schools_final,t_202324_performance_t_371eb4e56c
manual_202324_subject_pupil_level_la_data_revised,t_202324_subject_pupil_2ab324f688
manual_202324_subject_school_all_exam_entriesgrades_final,t_202324_subject_schoo_84751f4769
manual_2026-01-13_off_sen_primary_sim_sch_grps,t_2026_01_13_off_sen_p_da7ffb33e2
manual_2026-01-13_off_sen_primary_sim_sch_var_vals,t_2026_01_13_off_sen_p_e0ebbdc786
manual_2026-01-13_off_sen_secondary_sim_sch_grps,t_2026_01_13_off_sen_s_ae101eacb2
manual_2026-01-13_off_sen_secondary_sim_sch_var_vals,t_2026_01_13_off_sen_s_19f2b70939
manual_2223_la_char_data_revised,t_2223_la_char_data_re_951c641f25
manual_2223_subject_pupil_level_la_data_revised,t_2223_subject_pupil_l_a6edee9716
manual_custom_202223_subject_school_pupil_entriesachievements_final,t_custom_202223_subjec_6d3c9ec16a
manual_custom_202324_subject_school_pupil_entriesachievements_final,t_custom_202324_subjec_941996fa46
manual_custom_202325_subject_local_authority_pupil_entriesachievements,t_custom_202325_subjec_373493c71d
manual_custom_202325_subject_national_pupil_entriesachievements_characteristics,t_custom_202325_subjec_9973368c26
manual_custom_202425_subject_school_pupil_entriesachievements_revised,t_custom_202425_subjec_5359f04f61
manual_ees_ks4_inst_202223,t_ees_ks4_inst_202223_cbe11c2768
manual_ees_ks4_la_202223,t_ees_ks4_la_202223_77d7d16802
manual_ees_ks4_nat_202223,t_ees_ks4_nat_202223_6f188ec9e6
manual_england_ks4underlying_entriesandgrades_2,t_england_ks4underlyin_effb560d65
manual_exc_nat_region_la,t_exc_nat_region_la_02f87f3c39
manual_exc_school,t_exc_school_a1c7f527bc
manual_ks4_dm_ud_202122_inst_rev,t_ks4_dm_ud_202122_ins_d3152640f4
manual_ks4_dm_ud_202122_la_rev,t_ks4_dm_ud_202122_la__f22330973f
manual_ks4_dm_ud_202122_nat_rev,t_ks4_dm_ud_202122_nat_e9fce4c692
manual_ks4_dm_ud_202223_inst_rev,t_ks4_dm_ud_202223_ins_49ea482af3
manual_ks4_dm_ud_202223_la_rev,t_ks4_dm_ud_202223_la__c3b076dcd1
manual_ks4_dm_ud_202223_nat_rev,t_ks4_dm_ud_202223_nat_8dfd44c9f0
manual_secondary-email-addresses-12-01-2026,t_secondary_email_addr_c1553d4c65
manual_workforce_ptrs_2010_2024_sch,t_workforce_ptrs_2010__8b26fc7d53
secondary-email-addresses-12-01-2026,t_secondary_email_addr_c1553d4c65
workforce_ptrs_2010_2024_sch,t_workforce_ptrs_2010__8b26fc7d53
